"Area","Cod","Ind","Anno","Mese","Val"
"ITA","00000","1900",2012,7,12217042727.88
"ITA","00000","1100",2012,8,14688713954.88
"ITA","00000","1200",2012,8,46595494469.02
"ITA","00000","1300",2012,8,48296972282.93
"ITA","00000","1400",2012,8,12987236140.97
"ITA","00000","1500",2012,8,389455529.02
"ITA","00000","1600",2012,8,121634754.82
"ITA","00000","1700",2012,8,190792513.2
"ITA","00000","1800",2012,8,575491092.97
"ITA","00000","1900",2012,8,12352959864.89
"ITA","00000","1100",2012,9,14665006327.8
"ITA","00000","1200",2012,9,50954058486.44
"ITA","00000","1300",2012,9,53299230309.31
"ITA","00000","1400",2012,9,12319834504.93
"ITA","00000","1500",2012,9,385509094.47
"ITA","00000","1600",2012,9,189495864.47
"ITA","00000","1700",2012,9,241270464.12
"ITA","00000","1800",2012,9,21631490.62
"ITA","00000","1900",2012,9,11161387822.89
"ITA","00000","1100",2012,10,14690784959.58
"ITA","00000","1200",2012,10,57060537090.01
"ITA","00000","1300",2012,10,59053310309.84
"ITA","00000","1400",2012,10,12698011739.75
"ITA","00000","1500",2012,10,368074550.13
"ITA","00000","1600",2012,10,176293029.83
"ITA","00000","1700",2012,10,213387833.98
"ITA","00000","1800",2012,10,24791371.88
"ITA","00000","1900",2012,10,11544213218.13
"ITA","00000","1100",2012,11,14665778661.03
"ITA","00000","1200",2012,11,62893418810.42
"ITA","00000","1300",2012,11,64681680809.79
"ITA","00000","1400",2012,11,12877516661.66
"ITA","00000","1500",2012,11,347153020.66
"ITA","00000","1600",2012,11,190755777.5
"ITA","00000","1700",2012,11,240832983.35
"ITA","00000","1800",2012,11,48476742.65
"ITA","00000","1900",2012,11,11814459375
"ITA","00000","1100",2012,12,14705487622.86
"ITA","00000","1200",2012,12,79541913060.51
"ITA","00000","1300",2012,12,78167095758.2
"ITA","00000","1400",2012,12,16080304925.17
"ITA","00000","1500",2012,12,538486906.45
"ITA","00000","1600",2012,12,387235196.9
"ITA","00000","1700",2012,12,1656703248.96
"ITA","00000","1800",2012,12,300924699.37
"ITA","00000","1900",2012,12,16215140082.23
"ITA","00000","1100",2013,1,16072751158.71
"ITA","00000","1200",2013,1,4318270329.7
"ITA","00000","1300",2013,1,5993086033.86
"ITA","00000","1400",2013,1,14397935454.55
"ITA","00000","1500",2013,1,524590241.88
"ITA","00000","1600",2013,1,197178998.75
"ITA","00000","1700",2013,1,264447763.35
"ITA","00000","1800",2013,1,56645216.78
"ITA","00000","1900",2013,1,13167798710.1
"ITA","00000","1100",2013,2,16091585333.13
"ITA","00000","1200",2013,2,9644845235.75
"ITA","00000","1300",2013,2,11776105141.65
"ITA","00000","1400",2013,2,13960325427.23
"ITA","00000","1500",2013,2,391864774.65
"ITA","00000","1600",2013,2,147764374.89
"ITA","00000","1700",2013,2,229003787.09
"ITA","00000","1800",2013,2,21563972.53
"ITA","00000","1900",2013,2,12905525411.2
"ITA","00000","1100",2013,3,16023662008.7
"ITA","00000","1200",2013,3,13457091027.44
"ITA","00000","1300",2013,3,17180370681.98
"ITA","00000","1400",2013,3,12300382354.16
"ITA","00000","1500",2013,3,421161989.65
"ITA","00000","1600",2013,3,135866924.77
"ITA","00000","1700",2013,3,232694820.85
"ITA","00000","1800",2013,3,39314306.72
"ITA","00000","1900",2013,3,11242197345.88
"ITA","00000","1100",2013,4,15978988366.49
"ITA","00000","1200",2013,4,17505608609.72
"ITA","00000","1300",2013,4,21904276462.27
"ITA","00000","1400",2013,4,11580320513.94
"ITA","00000","1500",2013,4,305694014.1
"ITA","00000","1600",2013,4,240184781.1
"ITA","00000","1700",2013,4,265496220.29
"ITA","00000","1800",2013,4,15030593.18
"ITA","00000","1900",2013,4,10461633113.12
"ITA","00000","1100",2013,5,16035263786.49
"ITA","00000","1200",2013,5,23132673592.71
"ITA","00000","1300",2013,5,27732652467.96
"ITA","00000","1400",2013,5,11435284911.24
"ITA","00000","1500",2013,5,261764110.61
"ITA","00000","1600",2013,5,154012291.33
"ITA","00000","1700",2013,5,283059092.79
"ITA","00000","1800",2013,5,262065221.22
"ITA","00000","1900",2013,5,10716624068.49
"ITA","00000","1100",2013,6,16014693055.38
"ITA","00000","1200",2013,6,35248289070.69
"ITA","00000","1300",2013,6,36182274346.83
"ITA","00000","1400",2013,6,15080707779.24
"ITA","00000","1500",2013,6,295881676.9
"ITA","00000","1600",2013,6,310214969.19
"ITA","00000","1700",2013,6,666219140.33
"ITA","00000","1800",2013,6,178515279.74
"ITA","00000","1900",2013,6,14309526944.24
"ITA","00000","1100",2013,7,15993192848.59
"ITA","00000","1200",2013,7,41779254020.36
"ITA","00000","1300",2013,7,44575913380.18
"ITA","00000","1400",2013,7,13196533488.77
"ITA","00000","1500",2013,7,390127257.22
"ITA","00000","1600",2013,7,159032072.82
"ITA","00000","1700",2013,7,234257853.11
"ITA","00000","1800",2013,7,48227174.74
"ITA","00000","1900",2013,7,12052816016.13
"ITA","00000","1100",2013,8,15979840264.17
"ITA","00000","1200",2013,8,46263125159.95
"ITA","00000","1300",2013,8,49847945062.98
"ITA","00000","1400",2013,8,12395020361.14
"ITA","00000","1500",2013,8,284608758.64
"ITA","00000","1600",2013,8,101112750.09
"ITA","00000","1700",2013,8,168445630.96
"ITA","00000","1800",2013,8,90171503.1
"ITA","00000","1900",2013,8,11462884616.45
"ITA","00000","1100",2013,9,15993606041.44
